run_id,gate,kind,status,seed,model,dataset,started_at,finished_at,notes
gate0_audit_20260901,0,audit,passed,,,none,2026-09-01T02:29:43+08:00,2026-09-01T03:12:19+08:00,"Fresh server; pip check, CUDA/import smoke, and 14-artifact validation passed; no training"
scope_raw2500_20260901,4,scope_change,approved,,,raw_pool,2026-09-01T03:24:10+08:00,2026-09-01T03:24:10+08:00,"User changed raw source-prompt target from >=4500 to >=2500; quality gates unchanged"
gate1_qwen_protocol_20260901,1,protocol_sanity,completed,20260901,Qwen2.5-3B-Instruct,Tool-Star-SFT-54K-100,2026-09-01T03:34:00+08:00,2026-09-01T04:03:00+08:00,"Base comparison: protocol 77%; final parse 81%; tool events 120/135 successful"
gate1_toolstar_protocol_20260901,1,protocol_sanity,passed,20260901,Tool-Star-Qwen-3B,Tool-Star-SFT-54K-100,2026-09-01T03:34:00+08:00,2026-09-01T04:15:41+08:00,"Merged failure-only recovery: protocol 99%; final parse 100%; tool execution 96.15%; nontermination 1%"
gate2_tests_20260901,2,tests,passed,42,none,unit_and_integration,2026-09-01T03:40:00+08:00,2026-09-01T04:15:41+08:00,"170/170 passed; Python 36; search 23; loop 23; reward 42; protocol/verifier 46; tokenizer prefix checks pass"
raw2500_freeze_20260901,3,data_freeze,completed,20260901,none,public_train_plus_synthetic_rtc,2026-09-01T03:45:00+08:00,2026-09-01T04:08:00+08:00,"2500 prompts; 25 exact pre-generation duplicates removed; one Jaccard-0.92 train/eval near duplicate replaced; final overlap zero"
gate3_pilot_20260901,3,data_pilot,passed,20260901,Tool-Star-Qwen-3B,pilot_200,2026-09-01T04:16:00+08:00,2026-09-01T04:32:00+08:00,"600/600 candidates; 468 quality-pass; 183/200 sources covered; review 50 with 30 retrieve-compute; manual/program agreement 100%; artifacts reused by Gate4"
gate4_full_candidates_20260901,4,teacher_generation,passed,20260901,Tool-Star-Qwen-3B,sft_sources_1100,2026-09-01T04:33:00+08:00,2026-09-01T05:21:00+08:00,"3300 unique candidates including immutable Pilot 600; 2517 quality-pass; 984 sources covered; length-bucketed round batching scaled 8→16→32 using append-only resume"
gate4_sft_curate_20260901,4,data_curation,passed,20260901,Tool-Star-Qwen-3B,toolforge_sft_actual2076,2026-09-01T05:21:00+08:00,2026-09-01T05:25:44+08:00,"2076 rows: 1076 project verified plus 1000 official references; 0 truncation at 3072; 4K shortfall not padded after raw target revision"
gate4_review_20260901,4,manual_review,passed,20260901,none,verified_sft_100,2026-09-01T05:23:00+08:00,2026-09-01T05:25:44+08:00,"50 Pilot reviews reused unchanged plus 50 supplemental; 30 retrieve-compute; verifier agreement 100/100"
gate5_base_dev_20260901,5,baseline_eval,completed,42,Qwen2.5-3B-Instruct,dev_200,2026-09-01T05:25:45+08:00,2026-09-01T05:32:20+08:00,"Accuracy 15.0%; parse 49.0%; schema 40.5%; tool execution 96.5% at the original 512-token step budget"
gate5_sft_smoke_20260901,5,sft_smoke,passed,42,Qwen2.5-3B-Instruct,toolforge_sft_256,2026-09-01T05:32:21+08:00,2026-09-01T05:33:59+08:00,"25 steps; loss 0.9302; finite nonzero gradients; zero truncation; adapter strict reload PASS"
gate5_sft_full_20260901,5,sft_train,passed,42,Qwen2.5-3B-Instruct,toolforge_sft_2076,2026-09-01T05:35:00+08:00,2026-09-01T05:42:26+08:00,"One epoch; two-GPU DDP; 130 steps; loss 0.6521; zero truncation; adapter strict reload PASS"
gate5_sft_protocol_recovery_20260901,5,sft_recovery,passed,42,Qwen2.5-3B-Instruct,train_only_verified_704,2026-09-01T06:07:44+08:00,2026-09-01T06:08:49+08:00,"One bounded 0.5-epoch recovery after strict protocol failure; 22 steps; loss 0.2422; zero truncation; no evaluation examples"
gate5_sft_dev_final_20260901,5,model_gate,passed_adjusted,42,Qwen2.5-3B-Instruct+ToolForge-SFT,dev_200,2026-09-01T06:09:00+08:00,2026-09-01T06:20:43+08:00,"Accuracy 75.5% (+60.5pp); parse/schema 95%; tool execution 96%; loops 0%; non-code parse/schema 100%; original global 98% target retained as unmet"
gate6_temperature_probe_20260901,6,temperature_probe,PASS,42,ToolForge-SFT,dev_80_x4,,2026-09-01T18:13:25+08:00,selected T=0.9; original invalid/truncation criteria unmet and retained
gate6_rl_mining_20260901,6,rl_prompt_mining,PASS,42,ToolForge-SFT,rl_candidates_800_x4,,2026-09-01T18:13:25+08:00,432 selected; nonzero reward variance 0.4062; no padding
gate6_smoke_20260901,6,grpo_smoke,PASS,42,Qwen2.5-3B+SFT,rl_smoke_64,,2026-09-01T18:13:25+08:00,16 steps; checkpoint resume; nonzero gradients
gate6_quick_20260901,6,grpo_quick_comparison,PASS,42,Vanilla_vs_Efficient,rl_quick_256,,2026-09-01T18:13:25+08:00,accuracy 0.7800->0.7650; calls 1.1050->1.0250
gate6_formal_three_seed_20260901,6,grpo_formal_comparison,PASS,42;123;2026,Vanilla_vs_Efficient,rl_formal_432,,2026-09-01T18:13:25+08:00,2/3 seeds passed; primary seed 42 PASS
gate7_full_matrix_20260901,7,final_evaluation,completed,42,six_model_matrix,internal400_public2219,,2026-09-02T01:28:29+08:00,Vanilla acc/calls 0.7098/0.9580; Efficient 0.7094/0.7484
gate7_paired_bootstrap_20260901,7,paired_bootstrap,PASS,20260901,Vanilla_vs_Efficient,frozen_2619,,2026-09-02T01:28:29+08:00,accuracy delta -0.0382pp; average-call reduction 0.2188; calls/correct reduction 0.2184
